,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
7737,35264137.0,"""El descanso""",265489767,Lily,Gustavo A. Madero,19.45978,-99.09365,Entire home/apt,1800.0,1.0,0.0,31/12/2022,1.5860325810283387,1.0,179.0,0.0
7738,35284764.0,Roma  Condesa  GREAT  Apartment,28090452,Fabiola,CuauhtÃ©moc,19.42143,-99.17335,Private room,444.0,1.0,37.0,05/06/2022,1.93,11.0,354.0,33.0
7739,35286654.0,"HabitaciÃ³n para hospedarse, no te arrepentirÃ¡s",129240897,Edgar,CuauhtÃ©moc,19.41659,-99.15628,Private room,350.0,2.0,0.0,31/12/2022,1.5860325810283387,1.0,232.0,0.0
7740,35288399.0,Hermoso Dep. En la Col. Del Valle,62862952,Ailin,Benito JuÃ¡rez,19.37212,-99.17121,Entire home/apt,1429.0,3.0,31.0,03/04/2022,0.85,1.0,356.0,10.0
7741,35288926.0,Cozy & lindo apartment at Roma neighborhood,134294169,Rodrigo,CuauhtÃ©moc,19.40445,-99.16054,Entire home/apt,694.0,1.0,57.0,13/06/2022,1.54,6.0,319.0,39.0
7742,35289295.0,HabitaciÃ³n en Roma Norte. Cerca de Jardin Pushkin.,93030183,Sofia,CuauhtÃ©moc,19.42329,-99.1551,Private room,850.0,3.0,8.0,20/03/2022,0.22,1.0,119.0,3.0
7743,35289955.0,RecÃ¡mara independiente con baÃ±o completo.,170554540,Fabiola,Cuajimalpa de Morelos,19.35832,-99.28445,Private room,700.0,3.0,5.0,19/07/2020,0.13,3.0,51.0,0.0
7744,35297768.0,Ambiente relajado,265751566,Georgina,CoyoacÃ¡n,19.33838,-99.14636,Private room,250.0,1.0,2.0,30/06/2019,0.05,1.0,365.0,0.0
7745,35301098.0,Casa cÃ©ntrica en la Ciudad de MÃ©xico,265777504,Anthony,Iztacalco,19.38319,-99.11463,Entire home/apt,3000.0,1.0,0.0,31/12/2022,1.5860325810283387,1.0,365.0,0.0
7746,35007638.0,Hospedaje con calor de hogar,263742098,Arturo/Elva,CuauhtÃ©moc,19.42702,-99.14058,Entire home/apt,650.0,15.0,63.0,01/04/2020,1.69,1.0,172.0,0.0
7747,34797561.0,Cozy studio in Polanco,42691101,Colleen,Miguel Hidalgo,19.43147,-99.20459,Private room,527.0,4.0,23.0,06/06/2022,0.63,3.0,363.0,6.0
